stage,occasion,occasion_label,group,group_label,metric,metric_label,n,mean,sd,se,ci95_low,ci95_high
training,day1_session1,Day 1/S1,uniform,Uniform difficulty,lt_rn_count,LT-RN occurrences,10,16.7,4.321779468896786,1.3666666666666667,13.608385210842453,19.791614789157546
training,day1_session2,Day 1/S2,uniform,Uniform difficulty,lt_rn_count,LT-RN occurrences,11,17.454545454545453,4.885972500201702,1.4731761381057926,14.17210446541284,20.736986443678067
training,day2_session1,Day 2/S1,uniform,Uniform difficulty,lt_rn_count,LT-RN occurrences,11,15.909090909090908,4.846742111038,1.4613477307207359,12.653005254010061,19.165176564171755
training,day2_session2,Day 2/S2,uniform,Uniform difficulty,lt_rn_count,LT-RN occurrences,11,17.818181818181817,5.896069569097397,1.7777318635025916,13.857148384697732,21.779215251665903
training,day3_session1,Day 3/S1,uniform,Uniform difficulty,lt_rn_count,LT-RN occurrences,11,25.0,6.6932802122726045,2.018099916438052,20.503393168994123,29.496606831005877
training,day3_session2,Day 3/S2,uniform,Uniform difficulty,lt_rn_count,LT-RN occurrences,11,23.454545454545453,10.318562267715752,3.111163583448354,16.522440999379334,30.386649909711572
training,day1_session1,Day 1/S1,workload_adapted,Workload-adapted,lt_rn_count,LT-RN occurrences,11,24.545454545454547,9.469568483976833,2.8551823261750693,18.18371187499933,30.907197215909765
training,day1_session2,Day 1/S2,workload_adapted,Workload-adapted,lt_rn_count,LT-RN occurrences,11,26.181818181818183,11.889644080612184,3.584862573296428,18.19424660322492,34.16938976041145
training,day2_session1,Day 2/S1,workload_adapted,Workload-adapted,lt_rn_count,LT-RN occurrences,11,24.454545454545453,11.622079300741639,3.5041887567560064,16.646726340923916,32.262364568166994
training,day2_session2,Day 2/S2,workload_adapted,Workload-adapted,lt_rn_count,LT-RN occurrences,11,27.636363636363637,14.129916682505437,4.260330177713987,18.143756445109513,37.12897082761776
training,day3_session1,Day 3/S1,workload_adapted,Workload-adapted,lt_rn_count,LT-RN occurrences,11,23.454545454545453,10.472474744430148,3.1575699412498053,16.419041190582746,30.49004971850816
training,day3_session2,Day 3/S2,workload_adapted,Workload-adapted,lt_rn_count,LT-RN occurrences,11,26.181818181818183,12.710768519788108,3.8324409070180225,17.64260769894981,34.72102866468656
