model_outcome,outcome_variable,term,estimate,std_error,ci95_low,ci95_high,t,df,p_value,partial_r2,n,model_df_resid,r2,adjusted_r2,standardized,se_type
Transfer suture-completion score,post_transfer_mean_suture_completion_score,Intercept,-0.8608575580939188,2.477726828879139,-6.142007281529624,4.420292165341786,-0.34743844561886145,15,0.7330889593666895,0.00798331862485563,22,15,0.5820155966545362,0.41482183531635064,False,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_lt_rn_duration_s,-0.005356020121981282,0.011333260960053415,-0.02951229404499748,0.018800253801034915,-0.47259302868430897,15,0.6433063392396436,0.014671163461572267,22,15,0.5820155966545362,0.41482183531635064,False,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_lt_rn_count,0.24137946970464505,0.08924569646717287,0.05115677052652379,0.4316021688827663,2.7046622891607033,15,0.016305608112528656,0.32781237550070813,22,15,0.5820155966545362,0.41482183531635064,False,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_rt_ln_duration_s,-0.11242527776869438,0.24855326654261303,-0.6422040247883447,0.41735346925095596,-0.4523186491673796,15,0.6575120313203024,0.013455945297741407,22,15,0.5820155966545362,0.41482183531635064,False,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_rt_ln_count,0.6909489452554826,1.2464297527838035,-1.9657531848877388,3.3476510753987037,0.554342467926734,15,0.5875148869707522,0.020075105384015843,22,15,0.5820155966545362,0.41482183531635064,False,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,baseline_suture_completion_score,0.7306682773537294,0.7488946363410587,-0.8655628549475736,2.3268994096550326,0.9756623186989569,15,0.34470504860339257,0.059674142142808986,22,15,0.5820155966545362,0.41482183531635064,False,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,group_workload_adapted,0.8083746416539858,1.1253797308124736,-1.5903154741684435,3.207064757476415,0.7183127788078923,15,0.4836037276585233,0.033254327005147195,22,15,0.5820155966545362,0.41482183531635064,False,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,Intercept,335.03524740058725,82.48489957031012,159.22284569590602,510.8476491052685,4.06177675121012,15,0.0010225523932427315,0.5237797468406239,22,15,0.6080225561574255,0.45123157862039576,False,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_lt_rn_duration_s,0.35451910296430345,0.3459947070983756,-0.38295115824661685,1.0919893641752236,1.024637359159093,15,0.3217756573636896,0.06541367321238072,22,15,0.6080225561574255,0.45123157862039576,False,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_lt_rn_count,-8.60456184497236,2.632315839373621,-14.215210244575065,-2.9939134453696576,-3.26881817001864,15,0.005179649677423211,0.4160054732561982,22,15,0.6080225561574255,0.45123157862039576,False,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_rt_ln_duration_s,1.8810543495259198,7.620775540279483,-14.362244212615837,18.124352911667675,0.246832404337805,15,0.808384194837396,0.004045317988891887,22,15,0.6080225561574255,0.45123157862039576,False,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_rt_ln_count,-26.754683407416515,37.663789160833225,-107.03314969833369,53.523782883500665,-0.710355596277574,15,0.48838166504575464,0.03254549669480428,22,15,0.6080225561574255,0.45123157862039576,False,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,baseline_mean_active_suture_duration_s,-0.00886172393426933,0.06931330373223067,-0.1565995336755791,0.13887608580704042,-0.12785026044211814,15,0.8999657705315942,0.0010885264253730979,22,15,0.6080225561574255,0.45123157862039576,False,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,group_workload_adapted,-34.0597475266511,33.96922134515389,-106.46342892579878,38.343933872496585,-1.0026649472055127,15,0.3319239381513535,0.06281261035513395,22,15,0.6080225561574255,0.45123157862039576,False,classical
