model_outcome,omitted_participant,estimate,ci95_low,ci95_high,p_value,n
Transfer suture-completion score,S01,0.18182773892946508,0.04959042859686319,0.31406504926206696,0.010329232474151472,21
Transfer suture-completion score,S02,0.280100468422431,0.10154581727194875,0.4586551195729133,0.004443054352429857,21
Transfer suture-completion score,S03,0.2459206339684195,0.06484852398532581,0.4269927439515132,0.011111233212771144,21
Transfer suture-completion score,S04,0.28289114351933053,0.09944406978734913,0.46633821725131197,0.004991400139482786,21
Transfer suture-completion score,S05,0.28438120688679974,0.09490885273926306,0.4738535610343364,0.005974642004301835,21
Transfer suture-completion score,S06,0.34709034896261803,0.18832665111404828,0.5058540468111878,0.0003082472510539607,21
Transfer suture-completion score,S07,0.2734819830913506,0.09061918397741814,0.456344782205283,0.006115833407658946,21
Transfer suture-completion score,S08,0.2735757815194547,0.08978621056528577,0.45736535247362364,0.006306317086757968,21
Transfer suture-completion score,S09,0.276935812140286,0.09556409608078825,0.45830752819978376,0.005333866383594318,21
Transfer suture-completion score,S10,0.27389056623255964,0.09156653790301625,0.456214594562103,0.005940652640380521,21
Transfer suture-completion score,S11,0.2828830249425674,0.089656875775393,0.4761091741097418,0.007017909416033028,21
Transfer suture-completion score,S12,0.27569731690762167,0.09254450817696613,0.4588501256382772,0.005861663721012384,21
Transfer suture-completion score,S13,0.27365885749286495,0.09273696653615546,0.4545807484495744,0.005677963001801934,21
Transfer suture-completion score,S14,0.25796795820675755,0.0779126774590341,0.43802323895448103,0.008041548322464299,21
Transfer suture-completion score,S15,0.27471516407417773,0.09275361814352534,0.4566767100048301,0.005748725649686608,21
Transfer suture-completion score,S16,0.2696466205043773,0.06774393151289496,0.4715493094958597,0.01225021226480718,21
Transfer suture-completion score,S17,0.27737674709494126,0.09284024269495253,0.46191325149493,0.005917858696750736,21
Transfer suture-completion score,S18,0.2969936780006271,0.11372949495705531,0.4802578610441989,0.0035413513833503214,21
Transfer suture-completion score,S19,0.2736661944617446,0.0915079200501947,0.45582446887329453,0.00593714872310135,21
Transfer suture-completion score,S20,0.2800821522142235,0.06869754250919963,0.4914667619192474,0.012819315566853066,21
Transfer suture-completion score,S21,0.2746056155650747,0.09198664741322157,0.45722458371692776,0.005902164924718441,21
Transfer suture-completion score,S22,0.24877974809426656,0.07422268941359181,0.42333680677494134,0.008308374570547969,21
Transfer mean active suture duration,S01,-7.8999299412965875,-13.464547199544867,-2.335312683048307,0.008510571927497665,21
Transfer mean active suture duration,S02,-8.847238432949272,-13.663310277415452,-4.031166588483091,0.001376941808026625,21
Transfer mean active suture duration,S03,-8.54721371887948,-14.03189611924201,-3.0625313185169487,0.0046483242843164164,21
Transfer mean active suture duration,S04,-9.110783755594454,-14.159614967534015,-4.0619525436548924,0.0015859530526263765,21
Transfer mean active suture duration,S05,-8.267394955420434,-13.769253421979826,-2.7655364888610405,0.00592935322123538,21
Transfer mean active suture duration,S06,-10.230150460483268,-15.198713174878304,-5.261587746088232,0.0005288443915229017,21
Transfer mean active suture duration,S07,-8.673153071224789,-13.836659810199343,-3.5096463322502345,0.002734475207861517,21
Transfer mean active suture duration,S08,-8.930020056054408,-13.923905934301331,-3.936134177807486,0.0017029413155337598,21
Transfer mean active suture duration,S09,-8.568077662889632,-13.833066835953154,-3.30308848982611,0.0034376954402451413,21
Transfer mean active suture duration,S10,-8.517246241107244,-13.785231517076141,-3.2492609651383466,0.00360043569162967,21
Transfer mean active suture duration,S11,-7.965144315595349,-13.512954703130116,-2.4173339280605814,0.007936903309641155,21
Transfer mean active suture duration,S12,-7.935567822095651,-12.541377644018095,-3.329758000173207,0.0022636331128487947,21
Transfer mean active suture duration,S13,-8.489566861000878,-13.76409500609884,-3.2150387159029155,0.003716493579163697,21
Transfer mean active suture duration,S14,-8.369205675620682,-13.733255315434446,-3.005156035806918,0.004610658875831103,21
Transfer mean active suture duration,S15,-8.50697613852519,-13.784554514738018,-3.2293977623123613,0.003678191079410133,21
Transfer mean active suture duration,S16,-7.447281486344952,-13.142837962330868,-1.7517250103590367,0.013817348382252993,21
Transfer mean active suture duration,S17,-8.443786130802147,-13.796749641446398,-3.090822620157896,0.004277325650329214,21
Transfer mean active suture duration,S18,-9.091971210620773,-14.435167125619188,-3.748775295622358,0.002484912586597336,21
Transfer mean active suture duration,S19,-8.492690319669778,-13.586710159124948,-3.3986704802146095,0.0028882529072035896,21
Transfer mean active suture duration,S20,-7.105767934864713,-13.043974498830924,-1.167561370898503,0.022174569313469943,21
Transfer mean active suture duration,S21,-8.393530054713525,-13.641533071372578,-3.14552703805447,0.0038854489694074776,21
Transfer mean active suture duration,S22,-8.173003658253986,-13.504893191202747,-2.841114125305224,0.005196866241238765,21
