stage,metric,metric_label,term,transformation,chi_square,df,p_value,n_observations,n_participants,random_intercept_variance,residual_variance,converged
training,lt_rn_duration_s,LT-RN total duration (s),Group,log1p,1.888882084978036,1,0.16932806527992111,131,22,0.041303581061930404,0.10233677279245083,True
training,lt_rn_duration_s,LT-RN total duration (s),Occasion,log1p,17.519071037041186,5,0.0036136498899816388,131,22,0.041303581061930404,0.10233677279245083,True
training,lt_rn_duration_s,LT-RN total duration (s),Group x occasion,log1p,1.3270523878476865,5,0.9321235447661302,131,22,0.04132885908001843,0.10115877371020349,True
training,lt_rn_count,LT-RN count,Group,square_root,2.601967299388207,1,0.10673115412906158,131,22,0.5715196189297758,0.413721176001974,True
training,lt_rn_count,LT-RN count,Occasion,square_root,10.41089699246271,5,0.06439543909054331,131,22,0.5715196189297758,0.413721176001974,True
training,lt_rn_count,LT-RN count,Group x occasion,square_root,15.71651774625252,5,0.007701804884459737,131,22,0.5820303589267218,0.3580393686138796,True
training,rt_ln_duration_s,RT-LN total duration (s),Group,log1p,0.14832348849500931,1,0.7001426685516545,131,22,1.0100614806621957,1.0973577845815934,True
training,rt_ln_duration_s,RT-LN total duration (s),Occasion,log1p,3.956234733957217,5,0.555734172169862,131,22,1.0100614806621957,1.0973577845815934,True
training,rt_ln_duration_s,RT-LN total duration (s),Group x occasion,log1p,1.9680589712666006,5,0.8535468080510937,131,22,1.0131409353660485,1.077763320815218,True
training,rt_ln_count,RT-LN count,Group,square_root,0.06675606715657523,1,0.7961198585907698,131,22,0.5708219223912351,0.5599160903952222,True
training,rt_ln_count,RT-LN count,Occasion,square_root,6.115273544516413,5,0.29516338567223777,131,22,0.5708219223912351,0.5599160903952222,True
training,rt_ln_count,RT-LN count,Group x occasion,square_root,2.026863986510591,5,0.8454155458932764,131,22,0.5722740748904763,0.5496454038436175,True
transfer,lt_rn_duration_s,LT-RN total duration (s),Group,log1p,0.22995573132034508,1,0.6315566549888596,66,22,0.02721447488650509,0.09404597579886374,True
transfer,lt_rn_duration_s,LT-RN total duration (s),Occasion,log1p,8.928682955817393,2,0.011512274351363245,66,22,0.02721447488650509,0.09404597579886374,True
transfer,lt_rn_duration_s,LT-RN total duration (s),Group x occasion,log1p,0.15942656838657854,2,0.9233810563810343,66,22,0.027327825216039006,0.09370583123810988,True
transfer,lt_rn_count,LT-RN count,Group,square_root,1.3438068329332964,1,0.24636373969659758,66,22,0.4835889073383096,0.8937134965677996,True
transfer,lt_rn_count,LT-RN count,Occasion,square_root,14.622245509595928,2,0.0006680665559080309,66,22,0.4835889073383096,0.8937134965677996,True
transfer,lt_rn_count,LT-RN count,Group x occasion,square_root,0.7889136939571131,2,0.6740460499885932,66,22,0.48888336291616075,0.8778317254351057,True
transfer,rt_ln_duration_s,RT-LN total duration (s),Group,log1p,0.07380770018090743,1,0.785871367241516,66,22,0.5431962400364367,1.080791543272117,True
transfer,rt_ln_duration_s,RT-LN total duration (s),Occasion,log1p,7.241336977671153,2,0.02676477855536812,66,22,0.5431962400364367,1.080791543272117,True
transfer,rt_ln_duration_s,RT-LN total duration (s),Group x occasion,log1p,2.3402287188086177,2,0.31033144991638817,66,22,0.5618571702402155,1.024809436286275,True
transfer,rt_ln_count,RT-LN count,Group,square_root,0.0003912169328827986,1,0.984219506998896,66,22,0.58775408593981,0.6278845919483893,True
transfer,rt_ln_count,RT-LN count,Occasion,square_root,12.613928167812077,2,0.0018235610222776383,66,22,0.58775408593981,0.6278845919483893,True
transfer,rt_ln_count,RT-LN count,Group x occasion,square_root,3.4819937243601373,2,0.17534551814913257,66,22,0.6036786230491892,0.5801114910641387,True
