model_outcome,outcome_variable,term,estimate,std_error,ci95_low,ci95_high,t,df,p_value,partial_r2,n,model_df_resid,r2,adjusted_r2,standardized,se_type
Post-transfer LT-RN duration,post_transfer_mean_lt_rn_duration_s,Intercept,66.36822969439895,52.387372584969704,-43.279801273193016,176.0162606619909,1.266874561932897,19,0.22051014301163768,0.07789242428669024,22,19,0.3557193359678613,0.2879003187013204,False,classical
Post-transfer LT-RN duration,post_transfer_mean_lt_rn_duration_s,training_mean_lt_rn_duration_s,0.6627117495439682,0.21011127870813173,0.2229437891053601,1.1024797099825763,3.1540988833091133,19,0.005224435825658908,0.3436583875349597,22,19,0.3557193359678613,0.2879003187013204,False,classical
Post-transfer LT-RN duration,post_transfer_mean_lt_rn_duration_s,group_workload_adapted,-5.988144337692219,24.203495026067145,-56.64664162800261,44.670352952618174,-0.24740824956242857,19,0.807246120832296,0.003211277733564904,22,19,0.3557193359678613,0.2879003187013204,False,classical
Post-transfer LT-RN count,post_transfer_mean_lt_rn_count,Intercept,4.668557009532803,8.20485101240185,-12.504393522260633,21.841507541326237,0.568999607972912,19,0.5760215535989298,0.016754531446956468,22,19,0.4597893438294379,0.4029250642325366,False,classical
Post-transfer LT-RN count,post_transfer_mean_lt_rn_count,training_mean_lt_rn_count,1.381182686939141,0.37129592854393656,0.6040513771928132,2.158313996685469,3.7198972053250015,19,0.001452343897158386,0.42139560678601423,22,19,0.4597893438294379,0.4029250642325366,False,classical
Post-transfer LT-RN count,post_transfer_mean_lt_rn_count,group_workload_adapted,0.19139199051354966,6.027703149195737,-12.424735693585843,12.807519674612942,0.03175205974419736,19,0.9750009570105084,5.305998964595399e-05,22,19,0.4597893438294379,0.4029250642325366,False,classical
Post-transfer RT-LN duration,post_transfer_mean_rt_ln_duration_s,Intercept,8.125367075778367,4.1919371037773905,-0.6484581169944104,16.899192268551147,1.93833229712739,19,0.06758569311434431,0.165096905820718,22,19,0.22316794543126606,0.1413961502135046,False,classical
Post-transfer RT-LN duration,post_transfer_mean_rt_ln_duration_s,training_mean_rt_ln_duration_s,0.49591199330179625,0.21787070488156177,0.03990336723379373,0.9519206193697988,2.2761756500094057,19,0.03459818496943823,0.2142583358755597,22,19,0.22316794543126606,0.1413961502135046,False,classical
Post-transfer RT-LN duration,post_transfer_mean_rt_ln_duration_s,group_workload_adapted,2.537131620647667,5.360098208939148,-8.681682864652862,13.755946105948196,0.4733367788702901,19,0.6413658308627992,0.011654554215378836,22,19,0.22316794543126606,0.1413961502135046,False,classical
Post-transfer RT-LN count,post_transfer_mean_rt_ln_count,Intercept,3.259360506473185,1.1309323644056162,0.8922918638633677,5.626429149083003,2.8820118771525354,19,0.009548469824184898,0.3041820388766633,22,19,0.31821894919064164,0.24645252278965657,False,classical
Post-transfer RT-LN count,post_transfer_mean_rt_ln_count,training_mean_rt_ln_count,0.8776995305164313,0.2948843435545928,0.2604995061882649,1.4948995548445978,2.9764195682160395,19,0.007755948874497491,0.31799598300396686,22,19,0.31821894919064164,0.24645252278965657,False,classical
Post-transfer RT-LN count,post_transfer_mean_rt_ln_count,group_workload_adapted,-0.13902333191065688,1.4286251284310185,-3.1291700904489383,2.851123426627624,-0.09731267436359506,19,0.9234972996048423,0.0004981599546463585,22,19,0.31821894919064164,0.24645252278965657,False,classical
