model_outcome,outcome_variable,term,estimate,std_error,ci95_low,ci95_high,t,df,p_value,partial_r2,n,model_df_resid,r2,adjusted_r2,standardized,se_type
Transfer suture-completion score,post_transfer_mean_suture_completion_score,Intercept,-0.16079315169701433,0.24236464365325713,-0.6745832441214251,0.3529969407273964,-0.66343485284535,16,0.5164978786107306,0.02677262167976915,22,16,0.5554898338136067,0.4165804068803588,True,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_lt_rn_duration_s,-0.1379921132208819,0.2130894300216987,-0.5897215251319177,0.3137372986901539,-0.6475784050237982,16,0.526441225599455,0.025540450241719484,22,16,0.5554898338136067,0.4165804068803588,True,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_lt_rn_count,0.7368051189600089,0.22283085114841428,0.2644248167805029,1.209185421139515,3.3065669101145567,16,0.00445720945891919,0.40594172771958137,22,16,0.5554898338136067,0.4165804068803588,True,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_rt_ln_duration_s,-0.33446387701460106,1.0046155662801652,-2.4641537396520845,1.7952259856228825,-0.3329272293211973,16,0.743511719063468,0.006879873197685283,22,16,0.5554898338136067,0.4165804068803588,True,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_rt_ln_count,0.5987497621960607,0.998987958368321,-1.519010104607165,2.7165096289992863,0.5993563357600604,16,0.5573277772337609,0.02195873893546142,22,16,0.5554898338136067,0.4165804068803588,True,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,group_workload_adapted,0.32158630339402894,0.359007231563049,-0.43947502925523063,1.0826476360432884,0.8957655309446095,16,0.3836569576281362,0.04775484947813807,22,16,0.5554898338136067,0.4165804068803588,True,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,Intercept,0.1739728365346357,0.22771699985197982,-0.308765638174342,0.6567113112436134,0.7639870393853827,16,0.4559944796811677,0.03519582687446272,22,16,0.6075954133954682,0.484968980081552,True,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_lt_rn_duration_s,0.2124242813666427,0.2002110744095636,-0.21200423623697207,0.6368527989702575,1.0610016553434753,16,0.30444309433817796,0.06573295698004633,22,16,0.6075954133954682,0.484968980081552,True,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_lt_rn_count,-0.741629701141402,0.209363759222964,-1.1854610437830462,-0.29779835849975783,-3.5423021820677008,16,0.002710227083909481,0.4395385531572249,22,16,0.6075954133954682,0.484968980081552,True,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_rt_ln_duration_s,0.2824991096894037,0.9439002294625435,-1.7184799886844004,2.283478208063208,0.2992891630615014,16,0.768572107672612,0.005567207876892861,22,16,0.6075954133954682,0.484968980081552,True,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_rt_ln_count,-0.7178609689150802,0.9386127338496858,-2.707631077319578,1.2719091394894178,-0.7648106008223431,16,0.4555175575378043,0.03526907076404142,22,16,0.6075954133954682,0.484968980081552,True,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,group_workload_adapted,-0.34794567306927165,0.3373101309845441,-1.0630112072244222,0.36711986108587885,-1.0315304555297062,16,0.31763364591909826,0.06235651934162585,22,16,0.6075954133954682,0.484968980081552,True,classical
