model_outcome,outcome_variable,term,estimate,std_error,ci95_low,ci95_high,t,df,p_value,partial_r2,n,model_df_resid,r2,adjusted_r2,standardized,se_type
Transfer suture-completion score,suture_completion_score,Intercept,-0.4244795628317734,1.7582519982522782,-4.080964760917318,3.232005635253772,-0.24142134532121148,21,0.8115702625997757,0.0027677594831822055,44,38,0.47779460441740007,0.4090833681565317,False,participant-clustered
Transfer suture-completion score,suture_completion_score,training_mean_lt_rn_duration_s,-0.007222934893890184,0.008218992002658498,-0.024315264452324875,0.009869394664544506,-0.8788103080710955,21,0.38944921479606465,0.03547201212043412,44,38,0.47779460441740007,0.4090833681565317,False,participant-clustered
Transfer suture-completion score,suture_completion_score,training_mean_lt_rn_count,0.2736586105446761,0.10661194474369573,0.05194693424234412,0.4953702868470081,2.5668663225548967,21,0.017971225600585568,0.23882162576049712,44,38,0.47779460441740007,0.4090833681565317,False,participant-clustered
Transfer suture-completion score,suture_completion_score,training_mean_rt_ln_duration_s,-0.08197160968070161,0.17482904895979443,-0.4455485203580634,0.2816053009966602,-0.4688672172526242,21,0.6439954179463256,0.010359951065212336,44,38,0.47779460441740007,0.4090833681565317,False,participant-clustered
Transfer suture-completion score,suture_completion_score,training_mean_rt_ln_count,0.7451898594537975,0.919049006636454,-1.166077178730593,2.656456897638188,0.8108271202871453,21,0.4265592559395767,0.030356339447449875,44,38,0.47779460441740007,0.4090833681565317,False,participant-clustered
Transfer suture-completion score,suture_completion_score,group_workload_adapted,0.9923329066449719,0.5115401698202838,-0.07147311264763878,2.0561389259375824,1.9398924369783157,21,0.06594152368857648,0.1519668419703431,44,38,0.47779460441740007,0.4090833681565317,False,participant-clustered
Transfer mean active suture duration,mean_active_suture_duration_s,Intercept,330.0619446584873,73.01038081730545,178.2285459019787,481.89534341499586,4.520753637546479,21,0.00018711721608395343,0.49320916512315083,44,38,0.3581833820230619,0.2737338270260964,False,participant-clustered
Transfer mean active suture duration,mean_active_suture_duration_s,training_mean_lt_rn_duration_s,0.3426931785520282,0.26638378158762677,-0.21128222164851473,0.8966685787525711,1.2864641252166453,21,0.21228356858700637,0.07305189494468946,44,38,0.3581833820230619,0.2737338270260964,False,participant-clustered
Transfer mean active suture duration,mean_active_suture_duration_s,training_mean_lt_rn_count,-8.48956552530116,2.221748964461274,-13.10994543130421,-3.8691856192981096,-3.8211182546267985,21,0.0009956235016707416,0.41012801296098306,44,38,0.3581833820230619,0.2737338270260964,False,participant-clustered
Transfer mean active suture duration,mean_active_suture_duration_s,training_mean_rt_ln_duration_s,2.133895730538781,4.631564393423018,-7.497969704771485,11.765761165849046,0.4607289350373681,21,0.6497287741531113,0.010006997839307256,44,38,0.3581833820230619,0.2737338270260964,False,participant-clustered
Transfer mean active suture duration,mean_active_suture_duration_s,training_mean_rt_ln_count,-27.53618625206331,23.11860947515848,-75.6139665874554,20.541594083328775,-1.1910831523691607,21,0.24691000115455522,0.0632811179934955,44,38,0.3581833820230619,0.2737338270260964,False,participant-clustered
Transfer mean active suture duration,mean_active_suture_duration_s,group_workload_adapted,-33.091248811821764,25.980947008051373,-87.12158590890158,20.93908828525805,-1.2736736964040203,21,0.2166965394064451,0.07171015553524981,44,38,0.3581833820230619,0.2737338270260964,False,participant-clustered
